scientific,name,status,states,infraspecies,profile
Rostratula australis,Australian Painted Snipe,Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77037
Stagonopleura bella samueli,"Western Beautiful Firetail, Beautiful Firetail (Mt Lofty Range and Kangaroo Island)",Endangered,"[""SA""]",samueli,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=80202
Stagonopleura guttata,Diamond Firetail,Vulnerable,"[""SA"", ""QLD"", ""NSW"", ""VIC"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59398
Sterna vittata bethunei,"New Zealand Antarctic Tern, Antarctic Tern (New Zealand)",Endangered,"[""TAS""]",bethunei,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64451
Sternula albifrons,Little Tern,Vulnerable,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82849
Sternula nereis nereis,Australian Fairy Tern,Vulnerable,"[""WA"", ""SA"", ""NSW"", ""VIC"", ""TAS""]",nereis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82950
Stipiturus malachurus halmaturinus,Kangaroo Island Southern Emu-wren,Endangered,"[""SA""]",halmaturinus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85046
Stipiturus malachurus intermedius,"Fleurieu Peninsula Southern Emu-wren, Mount Lofty Southern Emu-wren",Endangered,"[""SA""]",intermedius,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26005
Stipiturus malachurus parimeda,"Southern Emu-wren (Eyre Peninsula), Eyre Peninsula Southern Emu-wren",Endangered,"[""SA""]",parimeda,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26006
Stipiturus mallee,Mallee Emu-wren,Endangered,"[""SA"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59459
