season,latitude,longitude,count
Winter,-22.0,147.0,1
Winter,-22.0,149.0,8
Winter,-23.0,116.0,2
Winter,-23.0,124.0,1
Winter,-24.0,133.0,9
Winter,-24.0,134.0,39
Winter,-24.0,139.0,8
Winter,-25.0,149.0,2
Winter,-26.0,114.0,3
Winter,-26.0,150.0,2
Winter,-27.0,154.0,7
Winter,-28.0,149.0,1
Winter,-30.0,143.0,1
Winter,-31.0,130.0,1
Winter,-32.0,126.0,1
Winter,-36.0,147.0,1
Winter,-37.0,144.0,1
Winter,-38.0,145.0,1
Winter,-11.0,143.0,1
Winter,-15.0,129.0,1
Winter,-15.0,131.0,1
Winter,-15.0,135.0,2
Winter,-16.0,125.0,1
Winter,-17.0,140.0,4
Winter,-20.0,136.0,4
Winter,-21.0,115.0,1
Winter,-21.0,116.0,2
Winter,-21.0,118.0,5
Winter,-21.0,145.0,5
Winter,-21.0,146.0,1
Winter,-23.0,115.0,1
Winter,-23.0,129.0,2
Winter,-23.0,132.0,2
Winter,-23.0,140.0,5
Winter,-23.0,141.0,1
Winter,-23.0,143.0,8
Winter,-23.0,144.0,2
Winter,-23.0,148.0,2
Winter,-24.0,116.0,1
Winter,-24.0,132.0,7
Winter,-24.0,138.0,8
Winter,-24.0,141.0,18
Winter,-24.0,142.0,1
Winter,-24.0,145.0,1
Winter,-24.0,149.0,1
Winter,-25.0,117.0,1
Winter,-25.0,131.0,2
Winter,-25.0,132.0,1
Winter,-25.0,133.0,1
Winter,-25.0,134.0,2
Winter,-25.0,140.0,2
Winter,-25.0,143.0,2
Winter,-25.0,151.0,1
Winter,-26.0,134.0,1
Winter,-26.0,135.0,3
Winter,-26.0,151.0,1
Winter,-27.0,135.0,2
Winter,-27.0,139.0,2
Winter,-27.0,149.0,2
Winter,-27.0,150.0,1
Winter,-27.0,151.0,5
Winter,-28.0,136.0,2
Winter,-28.0,145.0,1
Winter,-28.0,147.0,1
Winter,-28.0,151.0,2
Winter,-29.0,136.0,1
Winter,-29.0,150.0,1
Winter,-29.0,152.0,10
Winter,-30.0,150.0,2
Winter,-30.0,152.0,4
Winter,-31.0,153.0,24
Winter,-32.0,150.0,1
Winter,-32.0,151.0,1
Winter,-32.0,152.0,3
