scientific,name,count
Dendrocygna arcuata,Dendrocygna arcuata,4853
Geopelia cuneata,Geopelia cuneata,4823
Pluvialis fulva,Pluvialis fulva,4810
Purpureicephalus spurius,Purpureicephalus spurius,4767
Tringa brevipes,Tringa brevipes,4697
Tregellasia capito,Tregellasia capito,4671
Chalcophaps longirostris,Chalcophaps longirostris,4651
Pandion cristatus,Pandion cristatus,4501
Hieraaetus morphnoides,Hieraaetus morphnoides,4376
Sternula albifrons,Sternula albifrons,4357
Zoothera lunulata,Zoothera lunulata,4327
Heteroscenes pallidus,Heteroscenes pallidus,4317
Hirundapus caudacutus,White-throated Needletail,4303
Aerodramus terraereginae,Aerodramus terraereginae,4271
Cincloramphus cruralis,Cincloramphus cruralis,4211
Actitis hypoleucos,Actitis hypoleucos,4203
Aplonis metallica,Aplonis metallica,4194
Neochmia phaeton,Neochmia phaeton,4103
Arenaria interpres,Arenaria interpres,4099
Acanthiza ewingii,Acanthiza ewingii,4019
Ardenna tenuirostris,Ardenna tenuirostris,3992
Melithreptus affinis,Melithreptus affinis,3970
Aviceda subcristata,Aviceda subcristata,3948
Chloris chloris,Chloris chloris,3927
Recurvirostra novaehollandiae,Recurvirostra novaehollandiae,3885
Melanodryas cucullata,Melanodryas cucullata,3849
Psephotellus varius,Psephotellus varius,3848
Northiella haematogaster,Northiella haematogaster,3799
Erythrogonys cinctus,Erythrogonys cinctus,3786
Phaps elegans,Phaps elegans,3782
Chalcites minutillus,Chalcites minutillus,3774
Zanda latirostris,Zanda latirostris,3756
Calidris ferruginea,Curlew Sandpiper,3738
Artamus personatus,Artamus personatus,3737
Thinornis cucullatus,Thinornis cucullatus,3698
Myiagra nana,Myiagra nana,3692
Coturnix pectoralis,Coturnix pectoralis,3648
Myiagra alecto,Myiagra alecto,3576
Calidris tenuirostris,Calidris tenuirostris,3524
Rhipidura rufiventris,Rhipidura rufiventris,3466
Artamus superciliosus,Artamus superciliosus,3463
Todiramphus pyrrhopygius,Todiramphus pyrrhopygius,3454
Pitta versicolor,Pitta versicolor,3446
Microeca flavigaster,Microeca flavigaster,3434
Thalassarche cauta,Thalassarche cauta,3434
Glossopsitta concinna,Glossopsitta concinna,3425
Pyrrholaemus sagittatus,Pyrrholaemus sagittatus,3369
Sericulus chrysocephalus,Sericulus chrysocephalus,3345
Petroica rodinogaster,Petroica rodinogaster,3319
Stagonopleura guttata,Stagonopleura guttata,3285
Orthonyx temminckii,Orthonyx temminckii,3264
Aphelocephala leucopsis,Aphelocephala leucopsis,3247
Ptiloris victoriae,Ptiloris victoriae,3242
Ramsayornis modestus,Ramsayornis modestus,3170
Circus assimilis,Circus assimilis,3138
Todiramphus chloris,Todiramphus chloris,3113
Polytelis swainsonii,Polytelis swainsonii,3106
Xanthotis macleayanus,Xanthotis macleayanus,3103
Calamanthus fuliginosus,Calamanthus fuliginosus,3092
Lophoictinia isura,Lophoictinia isura,3077
Ardenna pacifica,Ardenna pacifica,2999
Ailuroedus maculosus,Ailuroedus maculosus,2950
Conopophila albogularis,Conopophila albogularis,2902
Nettapus pulchellus,Nettapus pulchellus,2897
Plegadis falcinellus,Plegadis falcinellus,2862
Ardeotis australis,Ardeotis australis,2781
Pachycephala olivacea,Pachycephala olivacea,2761
Purnella albifrons,Purnella albifrons,2715
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,2661
Neophema chrysostoma,Neophema chrysostoma,2659
Heteromyias cinereifrons,Heteromyias cinereifrons,2656
Corvus bennetti,Corvus bennetti,2647
Melithreptus gularis,Melithreptus gularis,2633
Stipiturus malachurus,Stipiturus malachurus,2606
Platycercus icterotis,Platycercus icterotis,2528
Charadrius leschenaultii,Charadrius leschenaultii,2523
Malurus elegans,Malurus elegans,2522
Gliciphila melanops,Gliciphila melanops,2485
Sterna hirundo,Sterna hirundo,2473
Ninox strenua,Ninox strenua,2444
Gavicalis fasciogularis,Gavicalis fasciogularis,2437
Cyclopsitta diophthalma,Cyclopsitta diophthalma,2412
Vanellus tricolor,Vanellus tricolor,2382
Neophema elegans,Neophema elegans,2364
Sula leucogaster,Sula leucogaster,2344
Melithreptus chloropsis,Melithreptus chloropsis,2340
Anthochaera lunulata,Anthochaera lunulata,2295
Gerygone magnirostris,Gerygone magnirostris,2276
Conopophila rufogularis,Conopophila rufogularis,2267
Calyptorhynchus lathami,Calyptorhynchus lathami,2260
Esacus magnirostris,Esacus magnirostris,2240
Ptiloris paradiseus,Ptiloris paradiseus,2207
Gavicalis versicolor,Gavicalis versicolor,2163
Gerygone palpebrosa,Gerygone palpebrosa,2149
Pachycephala simplex,Pachycephala simplex,2124
Calidris canutus,Calidris canutus,2121
Lonchura punctulata,Lonchura punctulata,2083
Melanodryas vittata,Melanodryas vittata,2069
Myiagra cyanoleuca,Myiagra cyanoleuca,2052
Lathamus discolor,Swift Parrot,2029
Lophochroa leadbeateri,Lophochroa leadbeateri,2029
Stiltia isabella,Stiltia isabella,2025
Stagonopleura bella,Stagonopleura bella,2022
Ptilotula flavescens,Ptilotula flavescens,2015
Ptilinopus superbus,Ptilinopus superbus,2003
Sternula nereis,Sternula nereis,2002
Zapornia pusilla,Zapornia pusilla,2002
Lewinia pectoralis,Lewinia pectoralis,1989
Philemon argenticeps,Philemon argenticeps,1975
Thalassarche melanophris,Thalassarche melanophris,1971
Charadrius bicinctus,Charadrius bicinctus,1941
Xenus cinereus,Xenus cinereus,1921
Tyto javanica,Tyto javanica,1920
Thalasseus bengalensis,Thalasseus bengalensis,1916
Oceanites oceanicus,Oceanites oceanicus,1912
Chlamydera maculata,Chlamydera maculata,1891
Polytelis anthopeplus,Polytelis anthopeplus,1884
Machaerirhynchus flaviventer,Machaerirhynchus flaviventer,1868
Zosterops luteus,Zosterops luteus,1866
Egretta picata,Egretta picata,1852
Mirafra javanica,Mirafra javanica,1848
Limosa limosa,Limosa limosa,1823
Epthianura tricolor,Epthianura tricolor,1809
Ardenna carneipes,Ardenna carneipes,1798
Charadrius mongolus,Charadrius mongolus,1790
Cairina moschata,Cairina moschata,1777
Carterornis leucotis,Carterornis leucotis,1774
Elseyornis melanops,Elseyornis melanops,1767
Myzomela erythrocephala,Myzomela erythrocephala,1758
Poephila acuticauda,Poephila acuticauda,1713
Melithreptus validirostris,Melithreptus validirostris,1698
Climacteris erythrops,Climacteris erythrops,1696
Onychoprion anaethetus,Onychoprion anaethetus,1687
Turnix varius,Turnix varius,1633
Climacteris rufus,Climacteris rufus,1609
Tringa stagnatilis,Tringa stagnatilis,1557
Pluvialis squatarola,Pluvialis squatarola,1554
Colluricincla megarhyncha,Colluricincla megarhyncha,1525
Psitteuteles versicolor,Psitteuteles versicolor,1525
Neophema pulchella,Neophema pulchella,1519
Geophaps plumifera,Geophaps plumifera,1504
Artamus minor,Artamus minor,1500
Falco subniger,Falco subniger,1491
Bolemoreus frenatus,Bolemoreus frenatus,1490
Puffinus huttoni,Puffinus huttoni,1489
Stictonetta naevosa,Stictonetta naevosa,1480
Tringa glareola,Tringa glareola,1474
Cheramoeca leucosterna,Cheramoeca leucosterna,1451
Cladorhynchus leucocephalus,Cladorhynchus leucocephalus,1448
Stagonopleura oculata,Stagonopleura oculata,1403
Amaurornis moluccana,Amaurornis moluccana,1391
Drymodes brunneopygia,Drymodes brunneopygia,1385
Eudyptula minor,Eudyptula minor,1377
Ninox connivens,Ninox connivens,1376
Zoothera heinei,Zoothera heinei,1365
Thalassarche carteri,Thalassarche carteri,1347
Bubulcus ibis,Bubulcus ibis,1335
Poephila personata,Poephila personata,1315
Dasyornis broadbenti,Dasyornis broadbenti,1312
Pachycephala inornata,Pachycephala inornata,1284
Calidris alba,Calidris alba,1283
Colluricincla boweri,Colluricincla boweri,1257
Ptilotula keartlandi,Ptilotula keartlandi,1230
Numida meleagris,Numida meleagris,1220
Chlidonias leucopterus,Chlidonias leucopterus,1210
Hamirostra melanosternon,Hamirostra melanosternon,1170
Pelagodroma marina,Pelagodroma marina,1161
Coracina lineata,Coracina lineata,1158
Pyrrholaemus brunneus,Pyrrholaemus brunneus,1155
Casuarius casuarius,Casuarius casuarius,1137
Certhionyx variegatus,Certhionyx variegatus,1122
